Function,Category,Subcategory,2025,Current ,2026 Target,2027 estimate,,Project or improvements,Score Impact,Notes,Implementation Examples,Informative References,SSDF Reference,,Standards Owner,Standards Name/Reference,Standards Notes
,,"ID.IM-02: Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties",2.0,2.0,2.5,2.5,,,,,"Ex1: Identify improvements for future incident response activities based on findings from incident response assessments (e.g., tabletop exercises and simulations, tests, internal reviews, independent audits)
Ex2: Identify improvements for future business continuity, disaster recovery, and incident response activities based on exercises performed in coordination with critical service providers and product suppliers
Ex3: Involve internal stakeholders (e.g., senior executives, legal department, HR) in security tests and exercises as appropriate
Ex4: Perform penetration testing to identify opportunities to improve the security posture of selected high-risk systems as approved by leadership
Ex5: Exercise contingency plans for responding to and recovering from the discovery that products or services did not originate with the contracted supplier or partner or were altered before receipt
Ex6: Collect and analyze performance metrics using security tools and services to inform improvements to the cybersecurity program","CIS Controls v8.0: 17.7
CRI Profile v2.0: ID.IM-02
CRI Profile v2.0: ID.IM-02.01
CRI Profile v2.0: ID.IM-02.02
CRI Profile v2.0: ID.IM-02.03
CRI Profile v2.0: ID.IM-02.04
CRI Profile v2.0: ID.IM-02.05
CRI Profile v2.0: ID.IM-02.06
CRI Profile v2.0: ID.IM-02.07
CRI Profile v2.0: ID.IM-02.08
CRI Profile v2.0: ID.IM-02.09
CSF v1.1: ID.SC-5
CSF v1.1: PR.IP-10
CSF v1.1: DE.DP-3
SP 800-221A: GV.CT-3
SP 800-53 Rev 5.1.1: AC-01
SP 800-53 Rev 5.1.1: AT-01
SP 800-53 Rev 5.1.1: AU-01
SP 800-53 Rev 5.1.1: CA-01
SP 800-53 Rev 5.1.1: CM-01
SP 800-53 Rev 5.1.1: CP-01
SP 800-53 Rev 5.1.1: IA-01
SP 800-53 Rev 5.1.1: IR-01
SP 800-53 Rev 5.1.1: MA-01
SP 800-53 Rev 5.1.1: MP-01
SP 800-53 Rev 5.1.1: PE-01
SP 800-53 Rev 5.1.1: PL-01
SP 800-53 Rev 5.1.1: PM-01
SP 800-53 Rev 5.1.1: PS-01
SP 800-53 Rev 5.1.1: PT-01
SP 800-53 Rev 5.1.1: RA-01
SP 800-53 Rev 5.1.1: SA-01
SP 800-53 Rev 5.1.1: SC-01
SP 800-53 Rev 5.1.1: SI-01
SP 800-53 Rev 5.1.1: SR-01
SP 800-53 Rev 5.1.1: CA-02
SP 800-53 Rev 5.1.1: CA-05
SP 800-53 Rev 5.1.1: CA-07
SP 800-53 Rev 5.1.1: CA-08
SP 800-53 Rev 5.1.1: CP-02
SP 800-53 Rev 5.1.1: CP-04
SP 800-53 Rev 5.1.1: IR-03
SP 800-53 Rev 5.1.1: IR-04
SP 800-53 Rev 5.1.1: IR-08
SP 800-53 Rev 5.1.1: PL-02
SP 800-53 Rev 5.1.1: PM-04
SP 800-53 Rev 5.1.1: PM-31
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: RA-05
SP 800-53 Rev 5.1.1: RA-07
SP 800-53 Rev 5.1.1: SA-08
SP 800-53 Rev 5.1.1: SA-11
SP 800-53 Rev 5.1.1: SI-02
SP 800-53 Rev 5.1.1: SI-04
SP 800-53 Rev 5.1.1: SR-05",,,,,
,,"ID.IM-03: Improvements are identified from execution of operational processes, procedures, and activities",2.0,2.5,2.5,2.5,,,,,"Ex1: Conduct collaborative lessons learned sessions with suppliers
Ex2: Annually review cybersecurity policies, processes, and procedures to take lessons learned into account
Ex3: Use metrics to assess operational cybersecurity performance over time","CRI Profile v2.0: ID.IM-03
CRI Profile v2.0: ID.IM-03.01
CRI Profile v2.0: ID.IM-03.02
CSF v1.1: PR.IP-7
CSF v1.1: PR.IP-8
CSF v1.1: DE.DP-5
CSF v1.1: RS.IM-1
CSF v1.1: RS.IM-2
CSF v1.1: RC.IM-1
CSF v1.1: RC.IM-2
SP 800-221A: GV.AD-1
SP 800-221A: MA.RM-6
SP 800-221A: MA.IM-1
SP 800-53 Rev 5.1.1: AC-01
SP 800-53 Rev 5.1.1: AT-01
SP 800-53 Rev 5.1.1: AU-01
SP 800-53 Rev 5.1.1: CA-01
SP 800-53 Rev 5.1.1: CM-01
SP 800-53 Rev 5.1.1: CP-01
SP 800-53 Rev 5.1.1: IA-01
SP 800-53 Rev 5.1.1: IR-01
SP 800-53 Rev 5.1.1: MA-01
SP 800-53 Rev 5.1.1: MP-01
SP 800-53 Rev 5.1.1: PE-01
SP 800-53 Rev 5.1.1: PL-01
SP 800-53 Rev 5.1.1: PM-01
SP 800-53 Rev 5.1.1: PS-01
SP 800-53 Rev 5.1.1: PT-01
SP 800-53 Rev 5.1.1: RA-01
SP 800-53 Rev 5.1.1: SA-01
SP 800-53 Rev 5.1.1: SC-01
SP 800-53 Rev 5.1.1: SI-01
SP 800-53 Rev 5.1.1: SR-01
SP 800-53 Rev 5.1.1: CA-02
SP 800-53 Rev 5.1.1: CA-05
SP 800-53 Rev 5.1.1: CA-07
SP 800-53 Rev 5.1.1: CA-08
SP 800-53 Rev 5.1.1: CP-02
SP 800-53 Rev 5.1.1: IR-04
SP 800-53 Rev 5.1.1: IR-08
SP 800-53 Rev 5.1.1: PL-02
SP 800-53 Rev 5.1.1: PM-04
SP 800-53 Rev 5.1.1: PM-31
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: RA-05
SP 800-53 Rev 5.1.1: RA-07
SP 800-53 Rev 5.1.1: SA-04
SP 800-53 Rev 5.1.1: SA-08
SP 800-53 Rev 5.1.1: SA-11
SP 800-53 Rev 5.1.1: SI-02
SP 800-53 Rev 5.1.1: SI-04
SP 800-53 Rev 5.1.1: SR-05",,,,,
,,"ID.IM-04: Incident response plans and other cybersecurity plans that affect operations are established, communicated, maintained, and improved",2.0,2.0,2.5,2.5,,"Develop a formal incident response plan, including playbooks and would be tested on an annual basis.",,,"Ex1: Establish contingency plans (e.g., incident response, business continuity, disaster recovery) for responding to and recovering from adverse events that can interfere with operations, expose confidential information, or otherwise endanger the organization's mission and viability
Ex2: Include contact and communication information, processes for handling common scenarios, and criteria for prioritization, escalation, and elevation in all contingency plans
Ex3: Create a vulnerability management plan to identify and assess all types of vulnerabilities and to prioritize, test, and implement risk responses
Ex4: Communicate cybersecurity plans (including updates) to those responsible for carrying them out and to affected parties
Ex5: Review and update all cybersecurity plans annually or when a need for significant improvements is identified","CRI Profile v2.0: ID.IM-04
CRI Profile v2.0: ID.IM-04.01
CRI Profile v2.0: ID.IM-04.02
CRI Profile v2.0: ID.IM-04.03
CRI Profile v2.0: ID.IM-04.04
CRI Profile v2.0: ID.IM-04.05
CRI Profile v2.0: ID.IM-04.06
CRI Profile v2.0: ID.IM-04.07
CRI Profile v2.0: ID.IM-04.08
CSF v1.1: PR.IP-9
CSF v1.1: RS.IM-1
CSF v1.1: RC.IM-1
CSF v1.1: PR.IP-10
SP 800-221A: MA.RR-4
SP 800-221A: MA.IM-1
SP 800-53 Rev 5.1.1: CP-02
SP 800-53 Rev 5.1.1: IR-08
SP 800-53 Rev 5.1.1: PL-02
SP 800-53 Rev 5.1.1: SR-02",,,,,
PROTECT (PR),"Identity Management, Authentication, and Access Control (PR.AA): Access to physical and logical assets is limited to authorized users, services, and hardware and  managed commensurate with the assessed risk of unauthorized access","PR.AA-01: Identities and credentials for authorized users, services, and hardware are managed by the organization",3.0,3.0,3.5,3.5,,Automated Access Reviews,,We should already be at 3.0 with all the Okta automation and improvements. Automated Access Review implementation can help enhance oversight for these,"Ex1: Initiate requests for new access or additional access for employees, contractors, and others, and track, review, and fulfill the requests, with permission from system or data owners when needed
Ex2: Issue, manage, and revoke cryptographic certificates and identity tokens, cryptographic keys (i.e., key management), and other credentials
Ex3: Select a unique identifier for each device from immutable hardware characteristics or an identifier securely provisioned to the device
Ex4: Physically label authorized hardware with an identifier for inventory and servicing purposes","CIS Controls v8.0: 5.1
CIS Controls v8.0: 6.7
CRI Profile v2.0: PR.AA-01
CRI Profile v2.0: PR.AA-01.01
CRI Profile v2.0: PR.AA-01.02
CSF v1.1: PR.AC-1
SP 800-53 Rev 5.1.1: AC-01
SP 800-53 Rev 5.1.1: AC-02
SP 800-53 Rev 5.1.1: AC-14
SP 800-53 Rev 5.1.1: IA-01
SP 800-53 Rev 5.1.1: IA-02
SP 800-53 Rev 5.1.1: IA-03
SP 800-53 Rev 5.1.1: IA-04
SP 800-53 Rev 5.1.1: IA-05
SP 800-53 Rev 5.1.1: IA-06
SP 800-53 Rev 5.1.1: IA-07
SP 800-53 Rev 5.1.1: IA-08
SP 800-53 Rev 5.1.1: IA-09
SP 800-53 Rev 5.1.1: IA-10
SP 800-53 Rev 5.1.1: IA-11",,,,,
,,PR.AA-02: Identities are proofed and bound to credentials based on the context of interactions,3.0,3.0,3.0,3.0,,Use Fido keys can help improve this.,,"I believe Sonatype already sits around Tier 3 – “Repeatable/Managed”. Okta-ADP integration, onboarding and offboarding automation workflow. Okta SIEM integration. Plus MDM, MFA and device trust.","Ex1: Verify a person's claimed identity at enrollment time using government-issued identity credentials (e.g., passport, visa, driver's license)
Ex2: Issue a different credential for each person (i.e., no credential sharing)","CRI Profile v2.0: PR.AA-02
CRI Profile v2.0: PR.AA-02.01
CSF v1.1: PR.AC-6
SP 800-53 Rev 5.1.1: IA-12",,,,,
,,"PR.AA-03: Users, services, and hardware are authenticated",3.0,3.0,3.0,3.0,,Consider blocking access from non-managed devices,,,"Ex1: Require multifactor authentication
Ex2: Enforce policies for the minimum strength of passwords, PINs, and similar authenticators
Ex3: Periodically reauthenticate users, services, and hardware based on risk (e.g., in zero trust architectures)
Ex4: Ensure that authorized personnel can access accounts essential for protecting safety under emergency conditions","CRI Profile v2.0: PR.AA-03
CRI Profile v2.0: PR.AA-03.01
CRI Profile v2.0: PR.AA-03.02
CRI Profile v2.0: PR.AA-03.03
CSF v1.1: PR.AC-3
CSF v1.1: PR.AC-7
SP 800-218: PO.5.2
SP 800-53 Rev 5.1.1: AC-07
SP 800-53 Rev 5.1.1: AC-12
SP 800-53 Rev 5.1.1: IA-02
SP 800-53 Rev 5.1.1: IA-03
SP 800-53 Rev 5.1.1: IA-05
SP 800-53 Rev 5.1.1: IA-07
SP 800-53 Rev 5.1.1: IA-08
SP 800-53 Rev 5.1.1: IA-09
SP 800-53 Rev 5.1.1: IA-10
SP 800-53 Rev 5.1.1: IA-11",,,,,
,,"PR.AA-04: Identity assertions are protected, conveyed, and verified",3.0,3.0,3.0,3.0,,,,"New in 2.0

We are likely closer to Tier 3 (Repeatable). We already use Okta as Idp and SSO.","Ex1: Protect identity assertions that are used to convey authentication and user information through single sign-on systems
Ex2: Protect identity assertions that are used to convey authentication and user information between federated systems
Ex3: Implement standards-based approaches for identity assertions in all contexts, and follow all guidance for the generation (e.g., data models, metadata), protection (e.g., digital signing, encryption), and verification (e.g., signature validation) of identity assertions","CRI Profile v2.0: PR.AA-04
CRI Profile v2.0: PR.AA-04.01
SP 800-53 Rev 5.1.1: IA-13",,,,,
,,"PR.AA-05: Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties",2.5,2.5,3.5,3.5,,Automated and Regular Access Reviews,,I believe Sonatype already sits around Tier 3 – “Repeatable/Managed”.,"Ex1: Review logical and physical access privileges periodically and whenever someone changes roles or leaves the organization, and promptly rescind privileges that are no longer needed
Ex2: Take attributes of the requester and the requested resource into account for authorization decisions (e.g., geolocation, day/time, requester endpoint's cyber health)
Ex3: Restrict access and privileges to the minimum necessary (e.g., zero trust architecture)
Ex4: Periodically review the privileges associated with critical business functions to confirm proper separation of duties","CIS Controls v8.0: 3.3
CIS Controls v8.0: 6.8
CRI Profile v2.0: PR.AA-05
CRI Profile v2.0: PR.AA-05.01
CRI Profile v2.0: PR.AA-05.02
CRI Profile v2.0: PR.AA-05.03
CRI Profile v2.0: PR.AA-05.04
CSF v1.1: PR.AC-1
CSF v1.1: PR.AC-3
CSF v1.1: PR.AC-4
SP 800-218: PO.5.2
SP 800-218: PS.1.1
SP 800-53 Rev 5.1.1: AC-01
SP 800-53 Rev 5.1.1: AC-02
SP 800-53 Rev 5.1.1: AC-03
SP 800-53 Rev 5.1.1: AC-05
SP 800-53 Rev 5.1.1: AC-06
SP 800-53 Rev 5.1.1: AC-10
SP 800-53 Rev 5.1.1: AC-16
SP 800-53 Rev 5.1.1: AC-17
SP 800-53 Rev 5.1.1: AC-18
SP 800-53 Rev 5.1.1: AC-19
SP 800-53 Rev 5.1.1: AC-24
SP 800-53 Rev 5.1.1: IA-13",,,,,
,,"PR.AA-06: Physical access to assets is managed, monitored, and enforced commensurate with risk",3.0,3.0,3.0,3.0,,,,We have limited office access on onsite footprint. Current controls in the office are sufficient. ,"Ex1: Use security guards, security cameras, locked entrances, alarm systems, and other physical controls to monitor facilities and restrict access
Ex2: Employ additional physical security controls for areas that contain high-risk assets
Ex3: Escort guests, vendors, and other third parties within areas that contain business-critical assets","CRI Profile v2.0: PR.AA-06
CRI Profile v2.0: PR.AA-06.01
CRI Profile v2.0: PR.AA-06.02
CSF v1.1: PR.AC-2
CSF v1.1: PR.PT-4
SP 800-218: PO.5.2
SP 800-53 Rev 5.1.1: PE-02
SP 800-53 Rev 5.1.1: PE-03
SP 800-53 Rev 5.1.1: PE-04
SP 800-53 Rev 5.1.1: PE-05
SP 800-53 Rev 5.1.1: PE-06
SP 800-53 Rev 5.1.1: PE-08
SP 800-53 Rev 5.1.1: PE-18
SP 800-53 Rev 5.1.1: PE-19
SP 800-53 Rev 5.1.1: PE-20",,,,,
,Awareness and Training (PR.AT): The organization's personnel are provided with cybersecurity awareness and training so that they can perform their cybersecurity-related tasks,PR.AT-01: Personnel are provided with awareness and training so that they possess the knowledge and skills to perform general tasks with cybersecurity risks in mind,3.0,3.0,3.5,3.5,,,,"We should be at a 3.0 with what we have implemented so far. Include new hire training, monthly and annual training plus secure code warrior","Ex1: Provide basic cybersecurity awareness and training to employees, contractors, partners, suppliers, and all other users of the organization's non-public resources
Ex2: Train personnel to recognize social engineering attempts and other common attacks, report attacks and suspicious activity, comply with acceptable use policies, and perform basic cyber hygiene tasks (e.g., patching software, choosing passwords, protecting credentials)
Ex3: Explain the consequences of cybersecurity policy violations, both to individual users and the organization as a whole
Ex4: Periodically assess or test users on their understanding of basic cybersecurity practices
Ex5: Require annual refreshers to reinforce existing practices and introduce new practices","CIS Controls v8.0: 14.1
CRI Profile v2.0: PR.AT-01
CRI Profile v2.0: PR.AT-01.01
CRI Profile v2.0: PR.AT-01.02
CRI Profile v2.0: PR.AT-01.03
CRI Profile v2.0: PR.AT-01.04
CSF v1.1: PR.AT-1
CSF v1.1: PR.AT-3
CSF v1.1: RS.CO-1
SP 800-218: PO.2.2
SP 800-221A: GV.CT-3
SP 800-221A: GV.RR-2
SP 800-53 Rev 5.1.1: AT-02
SP 800-53 Rev 5.1.1: AT-03",,,,,
,,PR.AT-02: Individuals in specialized roles are provided with awareness and training so that they possess the knowledge and skills to perform relevant tasks with cybersecurity risks in mind,2.5,2.5,3.5,3.5,,Role-based Security training,,Deploying Role-base Security Training will significant improve this to 3.0 and additional table-top exercise together will a completion of 99% will bring the maturity to 4.0,"Ex1: Identify the specialized roles within the organization that require additional cybersecurity training, such as physical and cybersecurity personnel, finance personnel, senior leadership, and anyone with access to business-critical data
Ex2: Provide role-based cybersecurity awareness and training to all those in specialized roles, including contractors, partners, suppliers, and other third parties
Ex3: Periodically assess or test users on their understanding of cybersecurity practices for their specialized roles
Ex4: Require annual refreshers to reinforce existing practices and introduce new practices","CIS Controls v8.0: 14.9
CRI Profile v2.0: PR.AT-02
CRI Profile v2.0: PR.AT-02.01
CRI Profile v2.0: PR.AT-02.02
CRI Profile v2.0: PR.AT-02.03
CRI Profile v2.0: PR.AT-02.04
CRI Profile v2.0: PR.AT-02.05
CRI Profile v2.0: PR.AT-02.06
CRI Profile v2.0: PR.AT-02.07
CRI Profile v2.0: PR.AT-02.08
CSF v1.1: PR.AT-2
CSF v1.1: PR.AT-3
CSF v1.1: PR.AT-4
CSF v1.1: PR.AT-5
SP 800-218: PO.2.2
SP 800-221A: GV.CT-3
SP 800-221A: GV.CT-4
SP 800-221A: GV.RR-2
SP 800-53 Rev 5.1.1: AT-03",,,,,
,"Data Security (PR.DS): Data are managed consistent with the organization's risk strategy to protect the confidentiality, integrity, and availability of information","PR.DS-01: The confidentiality, integrity, and availability of data-at-rest are protected",2.5,2.5,3.0,3.0,,"Limit access from non-Sonatype Managed devices
Removal Media or USB blocking
Managed software or application download & install.
",,"I believe Sonatype already sits around 2.5. Encryption is enforced on workstation, cloud infrastructure (AWS default) and products. There is opportunity to improve.","Ex1: Use encryption, digital signatures, and cryptographic hashes to protect the confidentiality and integrity of stored data in files, databases, virtual machine disk images, container images, and other resources
Ex2: Use full disk encryption to protect data stored on user endpoints
Ex3: Confirm the integrity of software by validating signatures
Ex4: Restrict the use of removable media to prevent data exfiltration
Ex5: Physically secure removable media containing unencrypted sensitive information, such as within locked offices or file cabinets","CIS Controls v8.0: 3.11
CRI Profile v2.0: PR.DS-01
CRI Profile v2.0: PR.DS-01.01
CRI Profile v2.0: PR.DS-01.02
CRI Profile v2.0: PR.DS-01.03
CSF v1.1: PR.DS-1
CSF v1.1: PR.DS-5
CSF v1.1: PR.DS-6
CSF v1.1: PR.PT-2
SP 800-218: PS.1.1
SP 800-218: PS.2.1
SP 800-218: PS.3.1
SP 800-53 Rev 5.1.1: CA-03
SP 800-53 Rev 5.1.1: CP-09
SP 800-53 Rev 5.1.1: MP-08
SP 800-53 Rev 5.1.1: SC-04
SP 800-53 Rev 5.1.1: SC-07
SP 800-53 Rev 5.1.1: SC-12
SP 800-53 Rev 5.1.1: SC-13
SP 800-53 Rev 5.1.1: SC-28
SP 800-53 Rev 5.1.1: SC-32
SP 800-53 Rev 5.1.1: SC-39
SP 800-53 Rev 5.1.1: SC-43
SP 800-53 Rev 5.1.1: SI-03
SP 800-53 Rev 5.1.1: SI-04
SP 800-53 Rev 5.1.1: SI-07",,,,,
,,"PR.DS-02: The confidentiality, integrity, and availability of data-in-transit are protected",2.0,2.0,2.5,2.5,,"DLP - Google Workspace, Slack",,I believe Sonatype already sits around 2.0. - we need to have our DLP controls documented and configured.,"Ex1: Use encryption, digital signatures, and cryptographic hashes to protect the confidentiality and integrity of network communications
Ex2: Automatically encrypt or block outbound emails and other communications that contain sensitive data, depending on the data classification
Ex3: Block access to personal email, file sharing, file storage services, and other personal communications applications and services from organizational systems and networks
Ex4: Prevent reuse of sensitive data from production environments (e.g., customer records) in development, testing, and other non-production environments","CIS Controls v8.0: 3.10
CRI Profile v2.0: PR.DS-02
CRI Profile v2.0: PR.DS-02.01
CSF v1.1: PR.DS-2
CSF v1.1: PR.DS-5
SP 800-53 Rev 5.1.1: AU-16
SP 800-53 Rev 5.1.1: CA-03
SP 800-53 Rev 5.1.1: SC-04
SP 800-53 Rev 5.1.1: SC-07
SP 800-53 Rev 5.1.1: SC-08
SP 800-53 Rev 5.1.1: SC-11
SP 800-53 Rev 5.1.1: SC-12
SP 800-53 Rev 5.1.1: SC-13
SP 800-53 Rev 5.1.1: SC-16
SP 800-53 Rev 5.1.1: SC-40
SP 800-53 Rev 5.1.1: SC-43
SP 800-53 Rev 5.1.1: SI-03
SP 800-53 Rev 5.1.1: SI-04
SP 800-53 Rev 5.1.1: SI-07",,,,,
,,"PR.DS-10: The confidentiality, integrity, and availability of data-in-use are protected",1.5,2.0,2.0,2.0,,Define and Document Data Retention policy,,,"Ex1: Remove data that must remain confidential (e.g., from processors and memory) as soon as it is no longer needed
Ex2: Protect data in use from access by other users and processes of the same platform","CRI Profile v2.0: PR.DS-10
CRI Profile v2.0: PR.DS-10.01
CSF v1.1: PR.DS-5
SP 800-53 Rev 5.1.1: AC-02
SP 800-53 Rev 5.1.1: AC-03
SP 800-53 Rev 5.1.1: AC-04
SP 800-53 Rev 5.1.1: AU-09
SP 800-53 Rev 5.1.1: AU-13
SP 800-53 Rev 5.1.1: CA-03
SP 800-53 Rev 5.1.1: CP-09
SP 800-53 Rev 5.1.1: SA-08
SP 800-53 Rev 5.1.1: SC-04
SP 800-53 Rev 5.1.1: SC-07
SP 800-53 Rev 5.1.1: SC-11
SP 800-53 Rev 5.1.1: SC-13
SP 800-53 Rev 5.1.1: SC-24
SP 800-53 Rev 5.1.1: SC-32
SP 800-53 Rev 5.1.1: SC-39
SP 800-53 Rev 5.1.1: SC-40
SP 800-53 Rev 5.1.1: SC-43
SP 800-53 Rev 5.1.1: SI-03
SP 800-53 Rev 5.1.1: SI-04
SP 800-53 Rev 5.1.1: SI-07
SP 800-53 Rev 5.1.1: SI-10
SP 800-53 Rev 5.1.1: SI-16",,,,,
,,"PR.DS-11: Backups of data are created, protected, maintained, and tested",2.0,2.0,2.5,2.5,,,,,"Ex1: Continuously back up critical data in near-real-time, and back up other data frequently at agreed-upon schedules
Ex2: Test backups and restores for all types of data sources at least annually
Ex3: Securely store some backups offline and offsite so that an incident or disaster will not damage them
Ex4: Enforce geographic separation and geolocation restrictions for data backup storage","CIS Controls v8.0: 11.2
CIS Controls v8.0: 11.3
CIS Controls v8.0: 11.5
CRI Profile v2.0: PR.DS-11
CRI Profile v2.0: PR.DS-11.01
CSF v1.1: PR.IP-4
SP 800-218: PS.3.1
SP 800-53 Rev 5.1.1: CP-06
SP 800-53 Rev 5.1.1: CP-09",,,,,
,"Platform Security (PR.PS): The hardware, software (e.g., firmware, operating systems, applications), and services of physical and virtual platforms are managed consistent with the organization's risk strategy to protect their confidentiality, integrity, and availability",PR.PS-01: Configuration management practices are established and applied,2.0,2.0,2.5,2.5,,,,,"Ex1: Establish, test, deploy, and maintain hardened baselines that enforce the organization's cybersecurity policies and provide only essential capabilities (i.e., principle of least functionality)
Ex2: Review all default configuration settings that may potentially impact cybersecurity when installing or upgrading software
Ex3: Monitor implemented software for deviations from approved baselines","CIS Controls v8.0: 4.1
CIS Controls v8.0: 4.2
CRI Profile v2.0: PR.PS-01
CRI Profile v2.0: PR.PS-01.01
CRI Profile v2.0: PR.PS-01.02
CRI Profile v2.0: PR.PS-01.03
CRI Profile v2.0: PR.PS-01.04
CRI Profile v2.0: PR.PS-01.05
CRI Profile v2.0: PR.PS-01.06
CRI Profile v2.0: PR.PS-01.07
CRI Profile v2.0: PR.PS-01.08
CRI Profile v2.0: PR.PS-01.09
CSF v1.1: PR.IP-1
CSF v1.1: PR.IP-3
CSF v1.1: PR.PT-2
CSF v1.1: PR.PT-3
SP 800-218: PO.5.2
SP 800-218: PS.1.1
SP 800-53 Rev 5.1.1: CM-01
SP 800-53 Rev 5.1.1: CM-02
SP 800-53 Rev 5.1.1: CM-03
SP 800-53 Rev 5.1.1: CM-04
SP 800-53 Rev 5.1.1: CM-05
SP 800-53 Rev 5.1.1: CM-06
SP 800-53 Rev 5.1.1: CM-07
SP 800-53 Rev 5.1.1: CM-08
SP 800-53 Rev 5.1.1: CM-09
SP 800-53 Rev 5.1.1: CM-10
SP 800-53 Rev 5.1.1: CM-11",,,,,
,,"PR.PS-02: Software is maintained, replaced, and removed commensurate with risk",2.0,2.0,2.0,2.0,,,,,"Ex1: Perform routine and emergency patching within the timeframes specified in the vulnerability management plan
Ex2: Update container images, and deploy new container instances to replace rather than update existing instances
Ex3: Replace end-of-life software and service versions with supported, maintained versions
Ex4: Uninstall and remove unauthorized software and services that pose undue risks
Ex5: Uninstall and remove any unnecessary software components (e.g., operating system utilities) that attackers might misuse
Ex6: Define and implement plans for software and service end-of-life maintenance support and obsolescence","CIS Controls v8.0: 2.2
CIS Controls v8.0: 2.3
CRI Profile v2.0: PR.PS-02
CRI Profile v2.0: PR.PS-02.01
CRI Profile v2.0: PR.PS-02.02
CRI Profile v2.0: PR.PS-02.03
CSF v1.1: PR.IP-12
CSF v1.1: PR.MA-2
SP 800-218: PO.5.2
SP 800-53 Rev 5.1.1: CM-11
SP 800-53 Rev 5.1.1: MA-03(06)
SP 800-53 Rev 5.1.1: SA-10(01)
SP 800-53 Rev 5.1.1: SI-02
SP 800-53 Rev 5.1.1: SI-07",,,,,
,,"PR.PS-03: Hardware is maintained, replaced, and removed commensurate with risk",3.0,3.0,3.0,3.0,,,,This should be 3.0 based on current Hardware management by IT - agree changed mg,"Ex1: Replace hardware when it lacks needed security capabilities or when it cannot support software with needed security capabilities
Ex2: Define and implement plans for hardware end-of-life maintenance support and obsolescence
Ex3: Perform hardware disposal in a secure, responsible, and auditable manner","CIS Controls v8.0: 1.2
CRI Profile v2.0: PR.PS-03
CRI Profile v2.0: PR.PS-03.01
CSF v1.1: PR.MA-1
CSF v1.1: PR.DS-3
SP 800-218: PO.5.2
SP 800-53 Rev 5.1.1: CM-07(09)
SP 800-53 Rev 5.1.1: SA-10(03)
SP 800-53 Rev 5.1.1: SC-03(01)
SP 800-53 Rev 5.1.1: SC-39(01)
SP 800-53 Rev 5.1.1: SC-49
SP 800-53 Rev 5.1.1: SC-51",,,,,
,,PR.PS-04: Log records are generated and made available for continuous monitoring,2.5,3.0,3.5,3.5,,AWS centralized logging,,"This should be 2.5 based on current state. - agree changed mg, Log archive account, more devices, with soc to get us to 3.5 in 2026","Ex1: Configure all operating systems, applications, and services (including cloud-based services) to generate log records
Ex2: Configure log generators to securely share their logs with the organization's logging infrastructure systems and services
Ex3: Configure log generators to record the data needed by zero-trust architectures","CIS Controls v8.0: 8.2
CRI Profile v2.0: PR.PS-04
CRI Profile v2.0: PR.PS-04.01
CRI Profile v2.0: PR.PS-04.02
CRI Profile v2.0: PR.PS-04.03
CSF v1.1: PR.PT-1
SP 800-218: PO.3.3
SP 800-53 Rev 5.1.1: AU-02
SP 800-53 Rev 5.1.1: AU-03
SP 800-53 Rev 5.1.1: AU-06
SP 800-53 Rev 5.1.1: AU-07
SP 800-53 Rev 5.1.1: AU-11
SP 800-53 Rev 5.1.1: AU-12",,,,,
,,PR.PS-05: Installation and execution of unauthorized software are prevented,1.5,2.0,2.0,2.0,,,,,"Ex1: When risk warrants it, restrict software execution to permitted products only or deny the execution of prohibited and unauthorized software
Ex2: Verify the source of new software and the software's integrity before installing it
Ex3: Configure platforms to use only approved DNS services that block access to known malicious domains
Ex4: Configure platforms to allow the installation of organization-approved software only","CIS Controls v8.0: 2.5
CRI Profile v2.0: PR.PS-05
CRI Profile v2.0: PR.PS-05.01
CRI Profile v2.0: PR.PS-05.02
CRI Profile v2.0: PR.PS-05.03
SP 800-53 Rev 5.1.1: CM-07(02)
SP 800-53 Rev 5.1.1: CM-07(04)
SP 800-53 Rev 5.1.1: CM-07(05)
SP 800-53 Rev 5.1.1: SC-34",,,,,
